volume,plate,ku_id,ku_title,ku_english,ku_printed_latin,ku_sci,note
V,18,ku-gould:13824,Red-winged Parrot. 18. plate,Red-winged Parrot,,Aprosmictus erythropterus,printed_alt_name=Red-winged lory
V,19,ku-gould:13820,Australian Ringneck. 19. plate,Australian Ringneck,Platycercus semitorquatus,Barnardius zonarius,printed_english=Yellow-collared parrakeet
V,20,ku-gould:13816,Australian Ringneck. 20. plate,Australian Ringneck,Platycercus bauerii,Barnardius zonarius,printed_english=Bauer's parrakeet
V,21,ku-gould:13812,Australian Ringneck. 21. plate,Australian Ringneck,Platycercus barnardii,Barnardius zonarius,printed_english=Barnard's parrakeet
V,22,ku-gould:13808,Crimson Rosella. 22. plate,Crimson Rosella,Platycercus adelaidiae,Platycercus elegans,printed_english=Adelaide parrakeet
V,23,ku-gould:13804,Crimson Rosella. 23. plate,Crimson Rosella,Platycercus pennantii,Platycercus elegans,printed_english=Pennant's parrakeet
V,24,ku-gould:13800,Green Rosella. 24. plate,Green Rosella,Platycercus flaviventris,Platycercus caledonicus,printed_english=Yellow-bellied parrakeet
V,25,ku-gould:13796,Crimson Rosella. 25. plate,Crimson Rosella,Platycercus flaveolus,Platycercus elegans flaveolus,printed_english=Yellow-rumped parrakeet
V,26,ku-gould:13792,White-cheeked Rosella. 26. plate,White-cheeked Rosella,Platycercus palliceps,Platycercus adscitus,printed_english=Pale-headed parrakeet
V,27,ku-gould:13788,Eastern Rosella. 27. plate,Eastern Rosella,,Platycercus eximius,printed_alt_name=Rose-hill parrakeet
V,28,ku-gould:13784,Eastern Rosella. 28. plate,Eastern Rosella,Platycercus splendidus,Platycercus eximius,printed_english=Splendid parrakeet
V,29,ku-gould:13780,Western Rosella. 29. plate,Western Rosella,,Platycercus icterotis,printed_alt_name=The earl of derby's parrakeet
V,30,ku-gould:13776,Eastern Rosella. 30. plate,Eastern Rosella,Platycercus ignitus,Platycercus eximius,printed_english=Fiery parrakeet
V,31,ku-gould:13772,Green Rosella. 31. plate,Green Rosella,Platycercus brownii,Platycercus caledonicus brownii,printed_english=Brown's parrakeet
