volume,plate,ia_id,leaf,caption_ocr,caption_latin,agrees,orientation,caption_top,fold_out,note
II,59,birdsAustraliav2Goul,244,PTEROG PO DC > Gould. Hidinvaudd & Walton frp. ; J. Gould and LC Richter deb ct,Pteropodocys Phasianella,yes,portrait,0.907,,Vision OCR: PTEROPODOCYS PHASIANELLUS: Gould
II,60,birdsAustraliav2Goul,248,"J Could ond Ht-Richtar dh atid, DLN IT. Hullmandd & Walton Log.",Campephaga Jardinii,yes,portrait,0.902,,Vision OCR: CAMPEPHAGA JARDINI.
II,61,birdsAustraliav2Goul,252,\VUPEIPHAGA IKAIRU. Land ACRiehter deter tith.,Campephaga Karu,yes,portrait,0.866,,Vision OCR: CAMРЕРHACA KARU.
II,62,birdsAustraliav2Goul,256,"LEVUCOMEMLAs Wig c& Mors J Gould and ILC Richter Ail bait,",Campephaga leucomela,yes,portrait,0.946,,Vision OCR: CAMPEPHAGA LEUCOMELA: Viq & Horsf
II,63,birdsAustraliav2Goul,260,SI Gould and HECRichiter deh & men its? 1D E I AV ~ TE RAT LO: Gould. As ‘ Millmaudd & Walton tp.,Campephaga humeralis,yes,portrait,0.939,,Vision OCR: CAMPEPHAGA HUMERALIS:Could
II,64,birdsAustraliav2Goul,264,PACHYCEPHALA GUTTURALIS. J. Gould and Ht Richter dd ith. Ttallmandel & Walton mp.,Pachycephala gutturalis,yes,portrait,0.901,,Vision OCR: PACHYCEPHALA GUTTURALIS.
II,65,birdsAustraliav2Goul,268,"lel i} € & YR u i) if Al PHADA “Ife Dell A CHYC A il Frllmandd & Weltow tmp. uld and HMCNichter del ct titty, 1 Go",Pachycephala glaucura,yes,portrait,0.907,,Vision OCR: PACHYCEPHALA GLAUTURA: Gould.
II,66,birdsAustraliav2Goul,272,PACHYCEPHALA MELANURAS: Gould J Covdd and I C.Bichiordel & tau.,Pachycephala melanura,yes,portrait,0.913,,Vision OCR: PACHYCEPHALA MELANURA: Coua
II,67,birdsAustraliav2Goul,276,"PACHYCEPHALA PECT ORALIS, lgéling) Provangprom Wine’ on Stone ty J le E bonte, : raved ty 6 Faliror he.",Pachycephala pectoralis,yes,portrait,0.842,,"read from image; caption set unusually high (~0.84); credits read ""Drawn from Nature & on Stone by J. & E. Gould"" / ""Printed by Hullmandel""; caption_top measured by eye against a ruler on the image"
II,68,birdsAustraliav2Goul,280,CIE: M2 Gould. Sbadbda and HA Riehtor del bith. Pudtinancel Vobtoww feaigs.,Pachycephala falcata,yes,portrait,0.894,,Vision OCR: PAUHYCEPHALA FALCATA:Coald.
II,69,birdsAustraliav2Goul,284,"‘PHALA LANOIDES: Guid A Gould and UC Lichter del &lith, 4 C Hilbnondel Saw.",Pachycephala Lanoides,yes,portrait,0.902,,Vision OCR: PACHYCEPHALA LANOIDES: Gould
II,70,birdsAustraliav2Goul,288,Gly! Ack ct th. of Gotha (ron: Fiullnandd & Wilton lag,Pachycephala rufogularis,yes,portrait,0.884,,Vision OCR: PACHYCEPHALA RUFOGULARIS: Gu
II,71,birdsAustraliav2Goul,292,GIULIB SIRT Is Gould. hte del eb lth. : Hilivandel & ee Jbind and,Pachycephala Gilbertii,yes,portrait,0.875,,read from image
II,72,birdsAustraliav2Goul,296,e .NSbatd and MC Rew Adel. & lath. Hallenandd & Walton org,Pachycephala simplex,yes,portrait,0.874,,Vision OCR: PACHYCEPHALA SIMPLEX: Codd.
II,73,birdsAustraliav2Goul,300,"p U7 BA Vig & Hors} f “i J, Gold and BC Richter Ad whith.",Pachycephala olivacea,yes,portrait,0.885,,Vision OCR: PACHYCEPHALA OLIYACEA: Vig & Horsf:
II,74,birdsAustraliav2Goul,304,COLLUBICINCLA. HARMONICA. - . Kivhtew del eb litlv. Mricmnncagane’ J Gould. aud HC,Colluricincla harmonica,yes,portrait,0.950,,Vision OCR: COLLURICINCLA HARMONICA.
II,75,birdsAustraliav2Goul,308,"COLLURICINCLA KUPIVEN TRIMS: G70, ended eb lth. rt Fiillinanda & Walton Lup, JS. Gould and 4 Kich",Colluricincla rufiventris,yes,portrait,0.922,,Vision OCR: COLLURICINCLA RUFIVENTRIS: Could
II,76,birdsAustraliav2Goul,312,COLLURICINCLA BRUNNEA: Gould J. Goul& and H.C. Richter Ad et lith. : - E j : Finland li,Colluricincla brunnea,yes,portrait,0.938,,Vision OCR: COLLURICINCLA BRUNNEA: Gould.
II,77,birdsAustraliav2Goul,316,ACould and HO Richter del ok ith one Ly},Colluricincla Selbii,yes,portrait,0.918,,Vision OCR: COLLURICINCLA SELBI: Jard
II,78,birdsAustraliav2Goul,320,"HINCLA PARRY UMA: Gozdd, : EC Richter hel et Lite",Colluricincla parvula,yes,portrait,0.909,,Vision OCR: COLLURICINCLA PARVULA:Gould.
II,79,birdsAustraliav2Goul,324,| FALCUNCULUS FRONTATUS: Hew Sh LE. Couta det cb hth: : C. lbrandel Lrg.,Falcunculus frontatus,yes,portrait,0.931,,Vision OCR: FALCUNCULUS FRONTATUS: Viel
II,80,birdsAustraliav2Goul,328,"FALCUNCULUS LEUCOGASTER: Guid JEL Could deb eblithe, ' : OC Linllmanded Lge",Falcunculus leucogaster,yes,portrait,0.904,,Vision OCR: FALCUNCULUS LETTOGASTER: Guld
II,81,birdsAustraliav2Goul,332,"ic 1 Could and ECRichter del c& hth, CHallaandel twp.",Oreoica gutturalis,yes,portrait,0.920,,"Vision OCR: OREOICA GUTTURALI»,"
II,82,birdsAustraliav2Goul,336,DICKRURUS BRACGTEATUS: Gonld . ei LL coukd a Hulimandd & Wealtod,Dicrurus bracteatus,yes,portrait,0.901,,Vision OCR: DICRURUS BRACTEATUS: Gould
II,83,birdsAustraliav2Goul,340,,Rhipidura albiscapa,yes,portrait,0.957,,Vision OCR: RHIPIDURA ALBISCAPA: Gold
