plate,ku_id,ku_english,ku_sci
321,ku-gould:10105,Sabine's snipe,Scolopax sabini
322,ku-gould:10101,"Jack Snipe, Bécassine sourde",Lymnocryptes minimus
323,ku-gould:10097,"Short-billed Dowitcher, Bécassin roux, Costurero pico corto",Limnodromus griseus
324,ku-gould:10093,"Red Knot, Bécasseau maubèche, Playero canuto",Calidris canutus
325,ku-gould:10089,"Ruff, combatant varié, Combattant varié",Philomachus pugnax
326,ku-gould:10085,"Buff-breasted Sandpiper, Bécasseau roussâtre, Playero leonado",Tryngites subruficollis
327,ku-gould:10081,"Pectoral Sandpiper, Bécasseau à poitrine cendrée, Playero pectoral",Calidris melanotos
328,ku-gould:10077,"Curlew Sandpiper, Bécasseau cocorli",Calidris ferruginea
329,ku-gould:10073,"Dunlin, Bécasseau variable, Playero dorso rojo",Calidris alpina
330,ku-gould:10069,"White-rumped Sandpiper, Bécasseau à croupion blanc, Playero rabadilla blanca",Calidris fuscicollis
331,ku-gould:10065,"Broad-billed Sandpiper, Bécasseau falcinelle",Limicola falcinellus
332,ku-gould:10061,"Little Stint, Bécasseau minute",Calidris minuta
333,ku-gould:10057,"Temminck's Stint, Bécasseau de Temminck",Calidris temminckii
334,ku-gould:10053,"Purple Sandpiper, Bécasseau violet",Calidris maritima
335,ku-gould:10049,"Sanderling, Bécasseau sanderling, Playero blanc",Calidris alba
336,ku-gould:10045,"Red-necked Phalarope, Falaropo cuello rojo, Phalarope à bec étroit",Phalaropus lobatus
337,ku-gould:10041,"Red-necked Phalarope, Falaropo cuello rojo, Phalarope à bec étroit",Phalaropus fulicarius
338,ku-gould:10037,Eurasian Coot,Fulica atra
339,ku-gould:10033,Water Rail,Rallus aquaticus
340,ku-gould:10029,Purple Swamphen,Porphyrio porphyrio
341,ku-gould:10025,Corn Crake,Crex crex
342,ku-gould:10021,"Common Moorhen, Gallineta frente roja, gallinule poule-d'eau",Gallinula chloropus
343,ku-gould:10017,Spotted Crake,Porzana porzana
344,ku-gould:10013,Baillon's Crake,Porzana pusilla
345,ku-gould:10009,Little Crake,Porzana parva
346,ku-gould:9987,"Blue Goose, Snow Goose, Ganso blanco, oie des neiges,",Chen caerulescens
347,ku-gould:9983,Greylag Goose,Anser anser
348,ku-gould:9979,"Bean Goose, oie des moissons",Anser fabalis
349,ku-gould:9975,"Greater White-fronted Goose, Ganso careto-mayor, oie rieuse",Anser albifrons
350,ku-gould:9971,"Barnacle Goose, bernache nonnette",Branta leucopsis
351,ku-gould:9967,Red-breasted Goose,Branta ruficollis
352,ku-gould:9963,"Brant, Brant Goose, Brent Goose, bernache cravant, Ganso de collar",Branta bernicla
353,ku-gould:9959,Egyptian Goose,Alopochen aegyptiaca
354,ku-gould:9955,Mute Swan,Cygnus olor
355,ku-gould:9951,Whooper Swan,Cygnus cygnus
356,ku-gould:9947,"Tundra Swan, Cisne de tundra, cygne siffleur",Cygnus columbianus bewickii
357,ku-gould:9943,"Common Shelduck, tadorne de Belon",Tadorna tadorna
358,ku-gould:9939,"Ruddy Shelduck, canard des Bahamas",Tadorna ferruginea
359,ku-gould:9935,"Eurasian Wigeon, canard siffleur, Pato silbón",Anas penelope
360,ku-gould:9931,Yellow-browed Warbler,Phylloscopus inornatus
361,ku-gould:9927,"Mallard, canard colvert, Pato de collar",Anas platyrhynchos
362,ku-gould:9923,"Eurasian Teal, Green-winged Teal, Cerceta ala verde, sarcelle d'hiver",Anas crecca
363,ku-gould:9919,Baikal Teal,Anas formosa
364,ku-gould:9915,"Garganey, Cerceta ceja blanca, sarcelle d'été",Anas querquedula
365,ku-gould:9911,"Northern Pintail, canard pilet,  Pato golondrino",Anas acuta
366,ku-gould:9907,"Gadwall, canard chipeau, Pato friso",Anas strepera
367,ku-gould:9903,Common Pochard,Aythya ferina
368,ku-gould:9899,Ferruginous Duck,Aythya nyroca
369,ku-gould:9895,Red-crested Pochard,Netta rufina
370,ku-gould:9891,"Tufted Duck, fuligule morillon",Aythya fuligula
371,ku-gould:9887,"Greater Scaup, fuligule milouinan, Pato boludo-mayor",Aythya m arila
372,ku-gould:9883,"Steller's Eider, eider de Steller",Polysticta stelleri
373,ku-gould:9879,Marbled Duck,Marmaronetta angustirostris
374,ku-gould:9875,"Common Eider, eider à duvet",Somateria mollissima
375,ku-gould:9871,"King Eider, eider à tête grise",Somateria spectabilis
376,ku-gould:9867,"Surf Scoter, macreuse à front blanc, Negreta nuca blanca",Melanitta perspicillata
377,ku-gould:9863,"Velvet Scoter, White-winged Scoter, macreuse brune, Negreta ala blanc",Melanitta fusca
378,ku-gould:9859,"Black Scoter, macreuse noire, Negreta negra",Melanitta nigra
