volume,plate,list_name,list_latin,caption_latin,bhl_barcode,bhl_item,leaf,bhl_page,orientation,rotate,scan_url,page_url,sheet_asset,crop_asset,notes
VII,13,Bulwer's Pheasant,Lobiophasis Bulweri,"LOBIOPHASIS BULWERI, Sharpe.",BirdsAsiaJohnGoVIIGoul,122491,60,39633073,portrait,0,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIIGoul/BirdsAsiaJohnGoVIIGoul_0060.jp2,https://www.biodiversitylibrary.org/page/39633073,sheet-BirdsAsiaJohnGoVIIGoul-0060.jpg,crop-BirdsAsiaJohnGoVIIGoul-0060.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,14,Lineated Pheasant,Euplocamus lineatus,EUPLOCAMUS LINEATUS.,BirdsAsiaJohnGoVIIGoul,122491,64,39633077,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIIGoul/BirdsAsiaJohnGoVIIGoul_0064.jp2,https://www.biodiversitylibrary.org/page/39633077,sheet-BirdsAsiaJohnGoVIIGoul-0064.jpg,crop-BirdsAsiaJohnGoVIIGoul-0064.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,15,Vieillot's Fireback,Euplocamus Vieilloti,"ETPLOCOMUS VIEILLOTI, GRGaY.",BirdsAsiaJohnGoVIIGoul,122491,68,39633081,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIIGoul/BirdsAsiaJohnGoVIIGoul_0068.jp2,https://www.biodiversitylibrary.org/page/39633081,sheet-BirdsAsiaJohnGoVIIGoul-0068.jpg,crop-BirdsAsiaJohnGoVIIGoul-0068.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,16,Swinhoe's Fireback,Euplocamus Swinhoii,"EUPLOCOMUS SWINHOIL, Gould.",BirdsAsiaJohnGoVIIGoul,122491,72,39633085,portrait,0,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIIGoul/BirdsAsiaJohnGoVIIGoul_0072.jp2,https://www.biodiversitylibrary.org/page/39633085,sheet-BirdsAsiaJohnGoVIIGoul-0072.jpg,crop-BirdsAsiaJohnGoVIIGoul-0072.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,17,Pencilled Pheasant,Gennaeus nycthemerus,GENNÆUS NYCTHEMERUS.,BirdsAsiaJohnGoVIIGoul,122491,76,39633089,portrait,0,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIIGoul/BirdsAsiaJohnGoVIIGoul_0076.jp2,https://www.biodiversitylibrary.org/page/39633089,sheet-BirdsAsiaJohnGoVIIGoul-0076.jpg,crop-BirdsAsiaJohnGoVIIGoul-0076.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,18,Cheer,Catreus Wallichii,CATREUS WALLICHI.,BirdsAsiaJohnGoVIIGoul,122491,80,39633093,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIIGoul/BirdsAsiaJohnGoVIIGoul_0080.jp2,https://www.biodiversitylibrary.org/page/39633093,sheet-BirdsAsiaJohnGoVIIGoul-0080.jpg,crop-BirdsAsiaJohnGoVIIGoul-0080.jpg,
VII,19,Golden Pheasant,Thaumalea picta,TIAUMALEA PICTA.,BirdsAsiaJohnGoVIIGoul,122491,84,39633097,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIIGoul/BirdsAsiaJohnGoVIIGoul_0084.jp2,https://www.biodiversitylibrary.org/page/39633097,sheet-BirdsAsiaJohnGoVIIGoul-0084.jpg,crop-BirdsAsiaJohnGoVIIGoul-0084.jpg,
VII,20,Lady Amherst's Pheasant,Thaumalea Amherstiae,TRÄUMALEA AMDERSTIE.,BirdsAsiaJohnGoVIIGoul,122491,88,39633101,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIIGoul/BirdsAsiaJohnGoVIIGoul_0088.jp2,https://www.biodiversitylibrary.org/page/39633101,sheet-BirdsAsiaJohnGoVIIGoul-0088.jpg,crop-BirdsAsiaJohnGoVIIGoul-0088.jpg,
VII,21,Siamese Fireback,Diardigallus praelatus,"DIARDICALLDS PRÆLATUS, Bonap",BirdsAsiaJohnGoVIIGoul,122491,92,39633105,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIIGoul/BirdsAsiaJohnGoVIIGoul_0092.jp2,https://www.biodiversitylibrary.org/page/39633105,sheet-BirdsAsiaJohnGoVIIGoul-0092.jpg,crop-BirdsAsiaJohnGoVIIGoul-0092.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,22,Chinese Crossoptilon,Crossoptilon auritum,CROSSOPTILON AURITUM.,BirdsAsiaJohnGoVIIGoul,122491,96,39633109,portrait,0,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIIGoul/BirdsAsiaJohnGoVIIGoul_0096.jp2,https://www.biodiversitylibrary.org/page/39633109,sheet-BirdsAsiaJohnGoVIIGoul-0096.jpg,crop-BirdsAsiaJohnGoVIIGoul-0096.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
