plate,figure,printed_name,printed_latin,scientific,common,ebird_code,taxonomy,wikidata,gbif,avibase,birdnet_label,form,confidence,caption_checked,reason,sources
59,,Chestnut-sided Warbler,,Setophaga pensylvanica,Chestnut-sided Warbler,chswar,eBird/Clements 2025,Q27075922,6092942,7AB1229BD3F33F46,Setophaga pensylvanica_Chestnut-sided Warbler,,high,,,Featherframe havell.yaml; plate title from audubon.org
60,,Carbonated Warbler,,,,,,,,,,,none,,Carbonated Warbler: not a valid species,
61,,Great Horned Owl,,Bubo virginianus,Great Horned Owl,grhowl,eBird/Clements 2025,Q81515,5959118,FC366114BD3B51A0,Bubo virginianus_Great Horned Owl,,high,,,Featherframe havell.yaml; plate title from audubon.org
62,,Passenger Pigeon,,Ectopistes migratorius,Passenger Pigeon,paspig,eBird/Clements 2025,Q191968,2495898,D397FE255A606DE8,,,high,,,Featherframe havell.yaml; plate title from audubon.org
63,,White-eyed Flycatcher or Vireo,,Vireo griseus,White-eyed Vireo,whevir,eBird/Clements 2025,Q512812,2487413,D97F93CC,Vireo griseus_White-eyed Vireo,,high,,Audubon's “White-eyed Flycatcher or Vireo” is today's White-eyed Vireo,Featherframe havell.yaml; plate title from audubon.org
64,,Swamp Sparrow,,Melospiza georgiana,Swamp Sparrow,swaspa,eBird/Clements 2025,Q742826,2492235,4E192262D429400C,Melospiza georgiana_Swamp Sparrow,,high,,,Featherframe havell.yaml; plate title from audubon.org
65,,Rathbone Warbler,,,,,,,,,,,none,,"not identified here yet: Featherframe pins one plate per species, and this is likely a second plate of one",
66,,Ivory-billed Woodpecker,,Campephilus principalis,Ivory-billed Woodpecker,ivbwoo,eBird/Clements 2025,Q756063,2478561,86E7578ADB6314A4,,,high,,,Featherframe havell.yaml; plate title from audubon.org
67,,"Red-winged Starling, or Marsh Blackbird",,Agelaius phoeniceus,Red-winged Blackbird,rewbla,eBird/Clements 2025,Q754043,2484452,6FB34E54B26AD0BA,Agelaius phoeniceus_Red-winged Blackbird,,high,,"Audubon's “Red-winged Starling, or Marsh Blackbird” is today's Red-winged Blackbird",Featherframe havell.yaml; plate title from audubon.org
68,,Republican or Cliff Swallow,,Petrochelidon pyrrhonota,Cliff Swallow,cliswa,eBird/Clements 2025,Q1591775,2489169,F5C181CA4478FD86,Petrochelidon pyrrhonota_Cliff Swallow,,high,,Audubon's “Republican or Cliff Swallow” is today's Cliff Swallow,Featherframe havell.yaml; plate title from audubon.org
69,,Bay-breasted Warbler,,Setophaga castanea,Bay-breasted Warbler,babwar,eBird/Clements 2025,Q27075917,6093202,10C601D3BCC5A85C,Setophaga castanea_Bay-breasted Warbler,,high,,,Featherframe havell.yaml; plate title from audubon.org
70,,Henslow's Bunting,,Centronyx henslowii,Henslow's Sparrow,henspa,eBird/Clements 2025,Q28812523,10850807,CDA2F827192CF0B3,Centronyx henslowii_Henslow's Sparrow,,high,,Audubon's “Henslow's Bunting” is today's Henslow's Sparrow,Featherframe havell.yaml; plate title from audubon.org
71,,Winter Hawk,,,,,,,,,,,none,,"not identified here yet: Featherframe pins one plate per species, and this is likely a second plate of one",
