volume,plate,list_name,list_latin,caption_latin,bhl_barcode,bhl_item,leaf,bhl_page,orientation,rotate,scan_url,page_url,sheet_asset,crop_asset,notes
VII,41,Culminated Albatros,Diomedea culminata,Diomedea culminata,birdsAustraliav7Goul,189241,172,48508873,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0172.jp2,https://www.biodiversitylibrary.org/page/48508873,sheet-birdsAustraliav7Goul-0172.jpg,crop-birdsAustraliav7Goul-0172.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,42,Yellow-billed Albatros,Diomedea chlororhynchos,,birdsAustraliav7Goul,189241,176,48508877,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0176.jp2,https://www.biodiversitylibrary.org/page/48508877,sheet-birdsAustraliav7Goul-0176.jpg,crop-birdsAustraliav7Goul-0176.jpg,"caption lies in the binding gutter, not visible even at full resolution (checked); facing text leaf 177 opens ""DIOMEDEA CHLORORHYNCHOS, Lath. Yellow-billed Albatros. Diome""; subject consistent; not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,43,Black-eyebrowed Albatros,Diomedea melanophrys,,birdsAustraliav7Goul,189241,180,48508881,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0180.jp2,https://www.biodiversitylibrary.org/page/48508881,sheet-birdsAustraliav7Goul-0180.jpg,crop-birdsAustraliav7Goul-0180.jpg,"caption lies in the binding gutter, not visible even at full resolution (checked); facing text leaf 181 opens ""DIOMEDEA MELANOPHRYS, Tem. Black-eyebrowed Albatros. Diomede""; subject consistent"
VII,44,Sooty Albatros,Diomedea fuliginosa,Diomedea fuliginosa,birdsAustraliav7Goul,189241,184,48508885,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0184.jp2,https://www.biodiversitylibrary.org/page/48508885,sheet-birdsAustraliav7Goul-0184.jpg,crop-birdsAustraliav7Goul-0184.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,45,Giant Petrel,Procellaria gigantea,Procellaria gigantea,birdsAustraliav7Goul,189241,188,48508889,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0188.jp2,https://www.biodiversitylibrary.org/page/48508889,sheet-birdsAustraliav7Goul-0188.jpg,crop-birdsAustraliav7Goul-0188.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,46,Spectacled Petrel,Procellaria conspicillata,,birdsAustraliav7Goul,189241,192,48508893,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0192.jp2,https://www.biodiversitylibrary.org/page/48508893,sheet-birdsAustraliav7Goul-0192.jpg,crop-birdsAustraliav7Goul-0192.jpg,"caption lies in the binding gutter, not visible even at full resolution (checked); facing text leaf 193 opens ""PROCELLARIA CONSPICILLATA, Gouwia. Spectacled Petrel. Procel""; subject consistent; not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,47,Great Grey Petrel,Procellaria hasitata,Procellaria hasitata,birdsAustraliav7Goul,189241,196,48508897,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0196.jp2,https://www.biodiversitylibrary.org/page/48508897,sheet-birdsAustraliav7Goul-0196.jpg,crop-birdsAustraliav7Goul-0196.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,48,Silvery Grey Petrel,Procellaria glacialoides,Procellaria glacialoides,birdsAustraliav7Goul,189241,200,48508901,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0200.jp2,https://www.biodiversitylibrary.org/page/48508901,sheet-birdsAustraliav7Goul-0200.jpg,crop-birdsAustraliav7Goul-0200.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,49,White-headed Petrel,Procellaria Lessonii,Procellaria Lessonii,birdsAustraliav7Goul,189241,204,48508905,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0204.jp2,https://www.biodiversitylibrary.org/page/48508905,sheet-birdsAustraliav7Goul-0204.jpg,crop-birdsAustraliav7Goul-0204.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,50,Soft-plumaged Petrel,Procellaria mollis,Procellaria mollis,birdsAustraliav7Goul,189241,208,48508909,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0208.jp2,https://www.biodiversitylibrary.org/page/48508909,sheet-birdsAustraliav7Goul-0208.jpg,crop-birdsAustraliav7Goul-0208.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
